path,size,modified_at,git_status,category,ownership_class,referenced_by,runtime_relevance,confidence,recommended_action,reason,snapshot_status,snapshot_reason,restoration_required
.git/hooks/push-to-checkout.sample,2783,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/sendemail-validate.sample,2308,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/hooks/update.sample,3650,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/index,27604,2026-09-01T10:57:57,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/info/exclude,240,2026-08-21T20:47:00,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/info/refs,1008,2026-08-31T21:13:18,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/logs/HEAD,15711,2026-09-01T10:57:57,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/logs/refs/heads/codex/TASK-STATE-CONTROL-20260830,9981,2026-09-01T10:57:57,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/logs/refs/heads/master,5510,2026-08-26T19:42:21,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/logs/refs/remotes/origin/codex/TASK-STATE-CONTROL-20260830,865,2026-08-30T21:44:45,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/00/a913978a1d87a5c2b885cb29266b145b44a614,22357,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/04/a5ade24e0a81d32cfd99093969a188e8699827,3879,2026-09-01T10:56:07,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/05/cbf238549985670db8a2ca8cbcdfd357d146e9,2108,2026-09-01T10:48:34,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/08/197eba777f8953130bb6d31d364ea00dd3cb0e,2124,2026-08-31T21:51:03,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/08/387ee5fae2d74e23dabc4c447d046a3d70d3a7,16483,2026-09-01T10:48:34,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/0a/079545b201687ddd6738b78b89a12e024ee854,2679,2026-09-01T10:53:25,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/0b/29f6389d7493e1164080aa255ec30d0610aeb2,545,2026-09-01T09:18:37,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/0b/3679dc588c4635938cfa73d9b134d896c14942,473,2026-09-01T13:44:51,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/0c/a0a55e66c73019d41f50d5f1028188d442e3c7,212,2026-09-01T13:44:51,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/0c/e2b96257037b3d699075aeace79a0f742b4014,2947,2026-09-01T10:48:34,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/0d/96fd8d05b3b3570ab7b509b3d0d18b71750c9d,11996,2026-09-01T10:48:34,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/0e/b2099032578adc0d26c2e338ba14462452d452,1271,2026-09-01T10:14:33,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/0f/cbe3897caaf266c4b9e7cc6725e77cab46f84d,136,2026-09-01T13:44:51,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/11/c746e7ce88975e12b1ccdfe398a4b1c9a246fd,2181,2026-09-01T08:49:25,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/12/82a9d5fbebd6066c239aca9dca8b908ab8eee1,521,2026-08-31T21:33:13,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/13/f1ffc94bcaa01dbfb45c2996c31a85ddc8d98f,80085,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/14/5c2d31aa3b132700d6435b8924e04f2459eb12,160,2026-09-01T13:44:51,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/16/6d9529b53ed8bb65de74ee29f23252516c8fce,224,2026-09-01T09:18:37,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/17/aa07163cb0d5f180d85069807df353689fa778,1271,2026-09-01T09:18:37,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/17/b01516ecb9986fb08207b9b9637c3d60eb1625,2752,2026-09-01T13:44:51,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/19/5935584856831a00feaaed13c3a2cb81cd36ab,2680,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/19/8f8c41c62cabe1952b6d7bcab50bef8ba5298e,129,2026-09-01T13:44:51,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/1b/f8091ee489adf61d8aaf7b595569251e6c7b65,402,2026-09-01T08:49:25,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/1d/7bb53625c38a1cfe8e71cd31378ba6762c4240,523529,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/1d/e1026cb151738b7087c98a4c31a80dbb6c60a8,10108,2026-09-01T10:48:34,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/20/51746b49d27a541dd25b9301195cc81d433b5b,1216,2026-09-01T10:48:34,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/20/51a4b0e71926628a6394e3824e282d24e0642f,1321,2026-08-31T21:42:04,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/21/21d8faa1aaf0505a751e99608363acacbd9f67,1176,2026-08-31T21:33:13,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/24/da74c881d2c0d39b519d9cb290716b9234f2ed,184861,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/25/2fec60ef4b4b4f2275b8294afe4efcb6ca0e23,282,2026-09-01T10:53:58,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/25/b86a6be4cebe5da83ca5bd14017feb403404d8,202,2026-09-01T13:44:51,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/29/33800616f7b46cdeeace9cb2993c39c0518b11,15795,2026-09-01T10:48:34,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/2b/477848f1a41b56807bdb32f87df5ba59eb1047,440,2026-09-01T09:18:37,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/2d/eb5877986a361bdf6a5946c26d3937a6bf3c0b,1785,2026-09-01T10:48:34,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/2f/9f9da806a309a5219a17cdbe366b0f14b4240b,216,2026-09-01T10:53:58,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/30/d8e69cdc74cef4cf033b3d92871e22b4918bb7,9784,2026-09-01T10:13:21,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/31/bc63f32374ec2a979a476c04538ba0bda13020,347345,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/33/8610c666e70d969261792a03695ff572cf2a1c,200327,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/33/9238c3ea7caf4e33e3c73bcfb2f5d9ba3429d0,6589,2026-09-01T09:18:14,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/35/9fe763285eedcdd4db56ab2427a9ba5b433668,365,2026-08-31T21:27:40,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/35/fa71afcdafcf24a85827850eb45ed0fe85ee3e,199982,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/37/9f085e1fc914b3a87e99a2b4887bb87277941b,668,2026-09-01T08:49:25,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/38/2ffde9b663e763b141c6dfa7e402d20fcd57d6,11286,2026-09-01T10:56:07,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/38/4cdcc7ecf376f06f176eef736a086f3262ef5a,582,2026-09-01T09:18:37,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/3a/781888a38a0b2ea36f73910455b33951c63613,1672,2026-09-01T10:48:34,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/3a/e25a7dbb54e215f8be24d2a45c8e16b16e2e94,5150,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/3b/ba62e9710c509ec991789482037444c8956bae,11491,2026-09-01T10:48:34,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/3c/5af7cdef54d4d8f177c06764a159479b57d928,1326,2026-09-01T10:53:58,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/3d/56ea9cce328adbbc9995e17570da41f918f806,667,2026-09-01T10:57:57,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/3d/ebf6bdfe5e5094492c44e22ea37e4780026914,14445,2026-09-01T09:18:14,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/3e/9a352bddcc6f25ae2cc835207cbb75e69b2584,403,2026-09-01T13:44:51,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/3e/bcf2fff971802650cc2d8ef987255a18193f9a,522865,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/3f/c23026066bd8b32d7024cf10310fc524dd5cf1,15361,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/40/9f02cab977765109b83c26106e2a63fa6a6138,2182,2026-08-31T21:33:12,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/41/0960f07c7dcb72ada1242d7358b7c766cbbc45,17696,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/42/c1e36566dccab3434269bde02a60d6004f1e51,13710,2026-09-01T08:48:27,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/43/0b0f3421b3acda32f80650cf8770e4dfc8ef1b,2723,2026-08-31T21:33:13,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/43/909c812aec19ed77e266ab54cf516002e12c93,13098,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/44/fff72e6e51959b0608cbb8b176540441078f64,402,2026-08-31T21:30:15,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/45/8c215a8f5b2370b53746966f3c600fc7b950b5,9788,2026-09-01T10:14:27,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/48/a56fcc0f060140c462e40017881a2301674404,76,2026-09-01T10:53:58,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/49/4cae77f3108b5341ce895a4d1dd7ae5a3f17f7,72745,2026-09-01T10:48:34,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/4a/6ab665bf7c10103624559f1fc91ddeaa85b596,2720,2026-09-01T09:24:59,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/4b/ed47fb6a252368d0307a358dee732ad16d9333,1776,2026-09-01T10:57:13,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/4c/c42913aaed2cb8e15e10697ebe04820f79edf6,666,2026-08-31T21:30:15,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/4d/bc8a5f9ea6c6212fb7731af542b3b57d6fa7eb,234,2026-09-01T09:18:37,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/4e/c3cfbcac1012551183638e754c88f198bf3061,2884,2026-09-01T08:48:27,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/4f/874edce2f3612409602fad19211d6536d2722f,1789,2026-09-01T10:53:25,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/50/67fe3e3dbe7e8106f2227c9d189ebe0f2941e2,14728,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/53/3439ab65edea329dbe1d33840f801ecb1fe997,108198,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/53/3ccbf9967bdb906e35dc972369ee520d4f322a,61785,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
.git/objects/55/5b05205df46e65cd112b9125caa5bb241a76ec,38557,2026-09-01T13:44:50,git_metadata,LOCAL_ONLY,LOCAL_ONLY,See rg/static-analysis evidence; path retained conservatively,not runtime code,low,KEEP,Git metadata is not product code.,COPIED,physical baseline copy,NO
