requirement_id,capability_id,business_rule_id,unit_test_path,integration_test_path,browser_test_path,doctor_check_id,component_id,failure_mode_id,runbook_path,verification_status,test_verification_level,diagnostic_level,live_acceptance_required,live_evidence_status,diagnostic_gap
REQ-MAIL-003,CAP-DEDUP-001,BR-MAIL-003;BR-MAIL-004,tests/test_supplier_identity.py;tests/test_mail_integrity.py,,,DOC-015,COMP-QUEUE,FM-MAIL-003,docs/operations/runbooks/RUNBOOK-MAIL-RUNTIME.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,no_disposable_queue_fixture_in_doctor
REQ-MAIL-004,CAP-RENDERING-001,BR-CONTENT-001,tests/test_mail_integration.py,tests/test_mail_deliverability.py,frontend/tests/email-renderer-responsive.spec.ts,DOC-013,COMP-CONTENT,FM-CONTENT-001,docs/operations/runbooks/RUNBOOK-FRONTEND.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,no_render_replay_in_static_doctor
REQ-MAIL-005,CAP-DELIVERY-001,BR-MAIL-005;BR-MAIL-009,tests/test_mail_status_semantics.py,tests/test_mail_integrity.py,,DOC-014,COMP-DELIVERY,FM-MAIL-002,docs/operations/runbooks/RUNBOOK-MAIL-PROVIDER.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,static_policy_surface_does_not_replay_uncertain_acceptance
REQ-MAIL-006,CAP-PACING-001,BR-MAIL-007,tests/test_mail_pacing.py;tests/test_mail_deliverability.py,tests/test_mail_integrity.py,,DOC-016,COMP-PACING,FM-MAIL-004,docs/operations/runbooks/RUNBOOK-MAIL-RUNTIME.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,no_disposable_pacing_fixture_in_doctor
REQ-MAIL-007,CAP-SUPPRESSION-001,BR-MAIL-006,tests/test_mail_status_semantics.py,tests/test_mail_deliverability.py,,DOC-017,COMP-BOUNCE,FM-MAIL-005,docs/operations/runbooks/RUNBOOK-MAIL-RUNTIME.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,static_bounce_surface_does_not_replay_bounce
REQ-MAIL-008,CAP-CAMPAIGN-001,BR-MAIL-008,tests/test_mail_deliverability.py,tests/test_mail_pacing.py,,DOC-018,COMP-CAMPAIGN,FM-CAMPAIGN-001,docs/operations/runbooks/RUNBOOK-MAIL-RUNTIME.md,ACCEPTED,BEHAVIORAL,STATIC,false,NOT_REQUIRED,static_campaign_surface_does_not_replay_stage_transition
REQ-DATA-001,CAP-DATABASE-001,BR-DATA-001,tests/test_mail_integrity.py,tests/test_canonical_runtime.py,,DOC-007,COMP-DATABASE,FM-DATA-001,docs/operations/runbooks/RUNBOOK-DATABASE.md,ACCEPTED,BEHAVIORAL,BEHAVIORAL,false,NOT_REQUIRED,offline_doctor_checks_disposable_schema_read_only_but_not_canonical_production_identity
REQ-RUNTIME-001,CAP-RUNTIME-001,BR-RUNTIME-001,tests/test_canonical_runtime.py,tests/test_mail_integrity.py,,DOC-011,COMP-RUNTIME,FM-RUNTIME-001,docs/operations/runbooks/RUNBOOK-MAIL-RUNTIME.md,ACCEPTED,BEHAVIORAL,BEHAVIORAL,false,NOT_REQUIRED,safe_test_runtime_marker_and_gate_are_proven_but_production_lock_provider_parity_is_not
REQ-FRONTEND-001,CAP-FRONTEND-001,,,,frontend/tests/frontend-audit.spec.ts,DOC-006,COMP-FRONTEND,FM-FRONTEND-001,docs/operations/runbooks/RUNBOOK-FRONTEND.md,ACCEPTED,BEHAVIORAL,RUNTIME,false,NOT_REQUIRED,full_doctor_requires_explicit_full_mode_and_does_not_replace_live_external_acceptance
REQ-DIAG-001,CAP-DIAGNOSTIC-001,,tests/diagnostics/test_diagnostic_runner.py,,,DOC-002,COMP-DOCTOR,FM-DIAGNOSTIC-001,docs/operations/runbooks/RUNBOOK-TEST-FAILURE.md,ACCEPTED,BEHAVIORAL,BEHAVIORAL,false,NOT_REQUIRED,full_offline_runner_is_proven_but_live_external_and_repair_actions_remain_outside_scope
REQ-DIAG-002,CAP-DIAGNOSTIC-001,,tests/diagnostics/test_diagnostic_runner.py;tests/diagnostics/test_doctor_contract.py,,,DOC-002,COMP-DOCTOR,FM-DIAGNOSTIC-001,docs/operations/runbooks/RUNBOOK-TEST-FAILURE.md,ACCEPTED,BEHAVIORAL,BEHAVIORAL,false,NOT_REQUIRED,machine_output_and_exit_codes_are_proven_but_no_live_provider_evidence_is claimed
REQ-DIAG-003,CAP-DIAGNOSTIC-001,,,,,DOC-002,COMP-REPAIR,FM-REPAIR-001,docs/operations/runbooks/RUNBOOK-TEST-FAILURE.md,DRAFT,NONE,NONE,false,NOT_REQUIRED,DRAFT_REPAIR_CONTRACT_NOT_ACCEPTED
